cat,onnx,vnnlib,prepared,verdict,secs
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_16.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_16.vnnlib,0,timeout,65
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_17.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_17.vnnlib,0,timeout,66
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_16_RSPLITTER_cifar_biasfield_vnncomp2022_prop_16.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_16.vnnlib,0,unknown,176
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_18.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_18.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_17_RSPLITTER_cifar_biasfield_vnncomp2022_prop_17.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_17.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_19.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_19.vnnlib,0,timeout,62
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_18_RSPLITTER_cifar_biasfield_vnncomp2022_prop_18.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_18.vnnlib,0,unknown,176
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_2.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_2.vnnlib,0,timeout,63
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_19_RSPLITTER_cifar_biasfield_vnncomp2022_prop_19.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_19.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_21_RSPLITTER_cifar_biasfield_vnncomp2022_prop_21.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_21.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_21.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_21.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_20.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_20.vnnlib,0,timeout,62
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_2_RSPLITTER_cifar_biasfield_vnncomp2022_prop_2.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_2.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_22.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_22.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_20_RSPLITTER_cifar_biasfield_vnncomp2022_prop_20.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_20.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_24.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_24.vnnlib,0,timeout,63
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_22_RSPLITTER_cifar_biasfield_vnncomp2022_prop_22.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_22.vnnlib,0,unknown,176
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_25.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_25.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_24_RSPLITTER_cifar_biasfield_vnncomp2022_prop_24.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_24.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_26.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_26.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_25_RSPLITTER_cifar_biasfield_vnncomp2022_prop_25.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_25.vnnlib,0,unknown,176
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_28.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_28.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_26_RSPLITTER_cifar_biasfield_vnncomp2022_prop_26.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_26.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_29.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_29.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_28_RSPLITTER_cifar_biasfield_vnncomp2022_prop_28.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_28.vnnlib,0,unknown,176
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_31.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_31.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_29_RSPLITTER_cifar_biasfield_vnncomp2022_prop_29.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_29.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_34.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_34.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_31_RSPLITTER_cifar_biasfield_vnncomp2022_prop_31.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_31.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_36.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_36.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_34_RSPLITTER_cifar_biasfield_vnncomp2022_prop_34.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_34.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_37.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_37.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_36_RSPLITTER_cifar_biasfield_vnncomp2022_prop_36.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_36.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_40_RSPLITTER_cifar_biasfield_vnncomp2022_prop_40.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_40.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_40.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_40.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_4.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_4.vnnlib,0,timeout,62
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_37_RSPLITTER_cifar_biasfield_vnncomp2022_prop_37.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_37.vnnlib,0,unknown,176
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_41.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_41.vnnlib,0,timeout,62
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_4_RSPLITTER_cifar_biasfield_vnncomp2022_prop_4.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_4.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_45_RSPLITTER_cifar_biasfield_vnncomp2022_prop_45.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_45.vnnlib,0,sat,1
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_45.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_45.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_43.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_43.vnnlib,0,timeout,61
